Judul,Harga,Kategori,Keyword_Magic,Keyword_King,Keyword_Dragon,Keyword_Sword,Keyword_War,Keyword_History,Keyword_America
Do Androids Dream of Electric Sheep? (Blade Runner #1),£51.48,Science Fiction,,,,,,,
Three Wishes (River of Time: California #1),£44.18,Science Fiction,,,,,,,
The Last Girl (The Dominion Trilogy #1),£36.26,Science Fiction,,,,,,,
Having the Barbarian's Baby (Ice Planet Barbarians #7.5),£34.96,Science Fiction,,,,,,,
Chase Me (Paris Nights #2),£25.27,Romance,,,,,,,
Black Dust,£34.53,Romance,,,,,,,
Her Backup Boyfriend (The Sorensen Family #1),£33.97,Romance,,,,,,,
First and First (Five Boroughs #3),£15.97,Romance,,,,,,,
Fifty Shades Darker (Fifty Shades #2),£21.96,Romance,,,,,,,
The Wedding Dress,£24.12,Romance,,,,,,,
Suddenly in Love (Lake Haven #1),£55.99,Romance,,,,,,,
Something More Than This,£16.24,Romance,,,,,,,
Doing It Over (Most Likely To #1),£35.61,Romance,,,,,,,
The Wedding Pact (The O'Malleys #2),£32.61,Romance,,,,,,,
Hold Your Breath (Search and Rescue #1),£28.82,Romance,,,,,,,
Dirty (Dive Bar #1),£40.83,Romance,,,,,,,
Take Me Home Tonight (Rock Star Romance #3),£53.98,Romance,,,,,,,
Off the Hook (Fishing for Trouble #1),£47.67,Romance,,,,,,,
A Gentleman's Position (Society of Gentlemen #3),£14.75,Romance,,,,,,,
"Sit, Stay, Love",£20.90,Romance,,,,,,,
A Girl's Guide to Moving On (New Beginnings #2),£31.30,Romance,,,,,,,
The Perfect Play (Play by Play #1),£59.99,Romance,,,,,,,
Dark Lover (Black Dagger Brotherhood #1),£12.87,Romance,,,,,,,
Changing the Game (Play by Play #2),£13.38,Romance,,,,,,,
A Walk to Remember,£56.43,Romance,,,,,,,
The Purest Hook (Second Circle Tattoos #3),£12.25,Romance,,,,,,,
The Obsession,£45.43,Romance,,,,,,,
Reservations for Two,£11.10,Romance,,,,,,,
Best of My Love (Fool's Gold #20),£27.41,Romance,,,,,,,
Where Lightning Strikes (Bleeding Stars #3),£39.77,Romance,,,,,,,
This One Moment (Pushing Limits #1),£48.71,Romance,,,,,,,
"Rhythm, Chord & Malykhin",£28.34,Romance,,,,,,,
My Perfect Mistake (Over the Top #1),£38.92,Romance,,,,,,,
Listen to Me (Fusion #1),£58.99,Romance,,,,,,,
Imperfect Harmony,£34.74,Romance,,,,,,,
Fighting Fate (Fighting #6),£39.24,Romance,,,,,,,
Deep Under (Walker Security #1),£47.09,Romance,,,,,,,
Charity's Cross (Charles Towne Belles #4),£41.24,Romance,,,,,,,
Bounty (Colorado Mountain #7),£37.26,Romance,,,,,,,
